Index;MODEL;RMSD_LB;RMSD_UB;SCORE;SDFMoleculeName;SMILES;TORSDO
3;4.0;5.916;10.724;-3.6;CHEMBL4576460;[H]N(CCC1=C(C)N=CS1)C(=O)C(C(C)(C)C)N([H])([H])[H];F 6
4;5.0;2.269;2.506;-3.6;CHEMBL4550384;[H]N(CCCC1=C(C)N=CS1)C(=O)C1=NC=CN=C1;F 5
5;6.0;3.571;7.609;-3.6;CHEMBL1625376;CC1=C(CCOC(=O)C2=CC=C(N(=O)=O)C=C2)SC=N1;F 6
5;6.0;3.836;5.176;-3.6;CHEMBL4516779;[H]OC1=NC=C(C(=O)N(C)CCC2=C(C)N=CS2)N=C1;F 5
7;8.0;5.945;7.159;-3.6;CHEMBL3477154;[H]OC1=CC=CC(O[H])=C1C(=O)N(C)CCC1=C(C)N=CS1;F 6
8;9.0;2.557;3.816;-3.6;CHEMBL1625135;CC1=C(CCOC(=O)C2C3CC4CC(C3)CC2C4)SC=N1;F 5
8;9.0;3.182;4.817;-3.6;CHEMBL3477154;[H]OC1=CC=CC(O[H])=C1C(=O)N(C)CCC1=C(C)N=CS1;F 6
8;9.0;3.414;5.226;-3.6;CHEMBL1438876;[H]OC1=NN=C(SCCC2=C(C)N=CS2)N1C1=CC=CC=C1;F 6
1;2.0;3.57;6.781;-3.5;CHEMBL3478212;CCN(CCOC)C(=O)CCC1=C(C)N=CS1;F 7
2;3.0;2.662;3.595;-3.5;CHEMBL3228123;[H]OCCC1=C(C(F)(F)F)N=CS1;F 4
2;3.0;4.858;6.223;-3.5;CHEMBL1419411;CC1=C(CCOC(=O)C2=CC=C(Cl)C=C2)SC=N1;F 5
2;3.0;5.197;9.644;-3.5;CHEMBL4593083;[H]N(CCCC1=C(C)N=CS1)C(=O)CN([H])C(=O)N(C)C;F 6
3;4.0;5.274;8.219;-3.5;CHEMBL4570627;CC1=C(CCN(C)C(=O)C2=NON=C2)SC=N1;F 4
4;5.0;2.433;3.198;-3.5;CHEMBL1740596;CC1=C(CCOC(=O)C2=CN=CC=C2)SC=N1;F 5
4;5.0;2.662;7.348;-3.5;CHEMBL4539956;[H]N(CCC1=C(C)N=CS1)C(=O)C(C(C)C)N([H])([H])C;F 6
4;5.0;3.539;6.459;-3.5;CHEMBL4564232;[H]N(CCN1([H])CCCC1)C(=O)CCC1=C(C)N=CS1;F 6
5;6.0;3.925;6.934;-3.5;CHEMBL4564232;[H]N(CCN1([H])CCCC1)C(=O)CCC1=C(C)N=CS1;F 6
6;7.0;4.606;5.653;-3.5;CHEMBL1617558;CC1=C(CCOC(=O)C2=CC=CC=C2)SC=N1;F 5
6;7.0;4.893;7.089;-3.5;CHEMBL3483821;[H]OC1=C(C(=O)N(C)CCC2=C(C)N=CS2)N=CC=C1;F 5
0;1.0;0.0;0.0;-3.4;CHEMBL2172682;CC1=C(CCN2C=CN=N2)SC=N1;F 3
0;1.0;0.0;0.0;-3.4;CHEMBL3228122;[H]OCCC1=C(C)N=C(F)S1;F 3
1;2.0;4.635;7.713;-3.4;CHEMBL3454460;[H]N(C)(CCC1=C(C)N=CS1)CC1=CC=C(Br)O1;F 5
2;3.0;3.411;7.894;-3.4;CHEMBL2172683;CC1=C(CCN2C=C(C3=CC=CC=C3)N=N2)SC=N1;F 4
3;4.0;1.802;2.931;-3.4;CHEMBL365225;[H]OCCC1=C(C(=O)N([H])C2=NC=CS2)N=CS1;F 4
3;4.0;2.457;7.54;-3.4;CHEMBL3483991;[H]N(CC1=CSC(N(C)C)=N1)C(=O)CCC1=C(C)N=CS1;F 5
3;4.0;3.764;4.739;-3.4;CHEMBL3228123;[H]OCCC1=C(C(F)(F)F)N=CS1;F 4
3;4.0;4.803;8.68;-3.4;CHEMBL4575169;[H]N1C=C(C(=O)N([H])CCCC2=C(C)N=CS2)C=N1;F 5
4;5.0;2.191;8.186;-3.4;CHEMBL3483991;[H]N(CC1=CSC(N(C)C)=N1)C(=O)CCC1=C(C)N=CS1;F 5
4;5.0;4.253;6.249;-3.4;CHEMBL365225;[H]OCCC1=C(C(=O)N([H])C2=NC=CS2)N=CS1;F 4
4;5.0;4.921;6.532;-3.4;CHEMBL4576460;[H]N(CCC1=C(C)N=CS1)C(=O)C(C(C)(C)C)N([H])([H])[H];F 6
5;6.0;5.424;9.224;-3.4;CHEMBL1740596;CC1=C(CCOC(=O)C2=CN=CC=C2)SC=N1;F 5
6;7.0;2.157;3.092;-3.4;CHEMBL4516779;[H]OC1=NC=C(C(=O)N(C)CCC2=C(C)N=CS2)N=C1;F 5
6;7.0;3.439;8.188;-3.4;CHEMBL1625376;CC1=C(CCOC(=O)C2=CC=C(N(=O)=O)C=C2)SC=N1;F 6
7;8.0;4.121;8.656;-3.4;CHEMBL3483821;[H]OC1=CC=CN=C1C(=O)N(C)CCC1=C(C)N=CS1;F 5
0;1.0;0.0;0.0;-3.3;CHEMBL3236173;CC1=C(CCN=N=N)SC=N1;F 3
1;2.0;2.373;3.792;-3.3;CHEMBL3752078;CCCCCCCOCCC1=C(C)N=CS1;F 9
2;3.0;5.254;6.826;-3.3;CHEMBL3752078;CCCCCCCOCCC1=C(C)N=CS1;F 9
3;4.0;3.994;6.976;-3.3;CHEMBL3475809;[H]OCC1=CC=C(CN([H])(C)CCC2=C(C)N=CS2)O1;F 7
3;4.0;5.249;8.053;-3.3;CHEMBL2172683;CC1=C(CCN2C=C(C3=CC=CC=C3)N=N2)SC=N1;F 4
3;4.0;6.211;9.532;-3.3;CHEMBL1419411;CC1=C(CCOC(=O)C2=CC=C(Cl)C=C2)SC=N1;F 5
3;4.0;7.299;11.64;-3.3;CHEMBL4593083;[H]N(CCCC1=C(C)N=CS1)C(=O)CN([H])C(=O)N(C)C;F 6
4;5.0;2.968;7.186;-3.3;CHEMBL4575169;[H]N1C=C(C(=O)N([H])CCCC2=C(C)N=CS2)C=N1;F 5
4;5.0;4.921;9.115;-3.3;CHEMBL4570627;CC1=C(CCN(C)C(=O)C2=NON=C2)SC=N1;F 4
5;6.0;2.779;3.22;-3.3;CHEMBL4550384;[H]N(CCCC1=C(C)N=CS1)C(=O)C1=NC=CN=C1;F 5
5;6.0;2.956;3.722;-3.3;CHEMBL3483991;[H]N(CC1=CSC(N(C)C)=N1)C(=O)CCC1=C(C)N=CS1;F 5
5;6.0;4.856;6.703;-3.3;CHEMBL4570627;CC1=C(CCN(C)C(=O)C2=NON=C2)SC=N1;F 4
5;6.0;5.04;7.153;-3.3;CHEMBL4576460;[H]N(CCC1=C(C)N=CS1)C(=O)C(C(C)(C)C)N([H])([H])[H];F 6
6;7.0;3.119;7.104;-3.3;CHEMBL4564232;[H]N(CCN1([H])CCCC1)C(=O)CCC1=C(C)N=CS1;F 6
6;7.0;5.192;7.417;-3.3;CHEMBL1740596;CC1=C(CCOC(=O)C2=CN=CC=C2)SC=N1;F 5
7;8.0;3.549;4.404;-3.3;CHEMBL1740596;CC1=C(CCOC(=O)C2=CN=CC=C2)SC=N1;F 5
1;2.0;2.638;4.279;-3.2;CHEMBL3236173;CC1=C(CCN=N=N)SC=N1;F 3
1;2.0;4.664;7.622;-3.2;CHEMBL2172682;CC1=C(CCN2C=CN=N2)SC=N1;F 3
2;3.0;3.131;5.44;-3.2;CHEMBL2172682;CC1=C(CCN2C=CN=N2)SC=N1;F 3
2;3.0;5.171;7.497;-3.2;CHEMBL3454460;[H]N(C)(CCC1=C(C)N=CS1)CC1=CC=C(Br)O1;F 5
3;4.0;2.53;6.35;-3.2;CHEMBL3478166;[H]N(C)(CCC1=C(C)N=CS1)CC1=C(C)C=CS1;F 5
3;4.0;4.342;7.281;-3.2;CHEMBL3454460;[H]N(C)(CCC1=C(C)N=CS1)CC1=CC=C(Br)O1;F 5
3;4.0;5.606;6.69;-3.2;CHEMBL3752078;CCCCCCCOCCC1=C(C)N=CS1;F 9
4;5.0;3.283;8.009;-3.2;CHEMBL4560094;[H]OC(CCSC)C(=O)N([H])CCC1=C(C)N=CS1;F 8
4;5.0;3.364;6.677;-3.2;CHEMBL3475809;[H]OCC1=CC=C(CN([H])(C)CCC2=C(C)N=CS2)O1;F 7
5;6.0;3.689;7.326;-3.2;CHEMBL4575169;[H]N1C=C(C(=O)N([H])CCCC2=C(C)N=CS2)C=N1;F 5
6;7.0;2.865;3.723;-3.2;CHEMBL4550384;[H]N(CCCC1=C(C)N=CS1)C(=O)C1=CN=CC=N1;F 5
6;7.0;5.035;8.519;-3.2;CHEMBL3483991;[H]N(CC1=CSC(N(C)C)=N1)C(=O)CCC1=C(C)N=CS1;F 5
6;7.0;5.135;8.363;-3.2;CHEMBL4570627;CC1=C(CCN(C)C(=O)C2=NON=C2)SC=N1;F 4
6;7.0;5.161;6.145;-3.2;CHEMBL4576460;[H]N(CCC1=C(C)N=CS1)C(=O)C(C(C)(C)C)N([H])([H])[H];F 6
7;8.0;3.408;3.982;-3.2;CHEMBL4550384;[H]N(CCCC1=C(C)N=CS1)C(=O)C1=CN=CC=N1;F 5
7;8.0;4.702;7.019;-3.2;CHEMBL4516779;[H]OC1=NC=C(C(=O)N(C)CCC2=C(C)N=CS2)N=C1;F 5
7;8.0;4.893;5.922;-3.2;CHEMBL4564232;[H]N(CCN1([H])CCCC1)C(=O)CCC1=C(C)N=CS1;F 6
8;9.0;3.698;5.066;-3.2;CHEMBL4564232;[H]N(CCN1([H])CCCC1)C(=O)CCC1=C(C)N=CS1;F 6
8;9.0;5.441;8.204;-3.2;CHEMBL3483821;[H]OC1=C(C(=O)N(C)CCC2=C(C)N=CS2)N=CC=C1;F 5
0;1.0;0.0;0.0;-3.1;CHEMBL2021610;CC1=C(CCON(=O)=O)SC=N1;F 3
0;1.0;0.0;0.0;-3.1;CHEMBL2104128;CC1=C(CCCCl)SC=N1;F 3
0;1.0;0.0;0.0;-3.1;CHEMBL3306931;[H]OCCC1=C(C)N(C)CS1;F 3
0;1.0;0.0;0.0;-3.1;CHEMBL4553561;[H]OCC1=C(Cl)N=CS1;F 2
0;1.0;0.0;0.0;-3.1;CHEMBL4569677;[H]N([H])(CCOC)CC1=C(C)N=CS1;F 5
1;2.0;2.528;2.966;-3.1;CHEMBL2104128;CC1=C(CCCCl)SC=N1;F 3
1;2.0;3.071;3.824;-3.1;CHEMBL3228122;[H]OCCC1=C(C)N=C(F)S1;F 3
1;2.0;3.702;6.07;-3.1;CHEMBL4569677;[H]N([H])(CCOC)CC1=C(C)N=CS1;F 5
2;3.0;8.495;10.205;-3.1;CHEMBL3236173;CC1=C(CCN=N=N)SC=N1;F 3
3;4.0;3.984;5.662;-3.1;CHEMBL2172682;CC1=C(CCN2C=CN=N2)SC=N1;F 3
